time,portfolio_value
1838,201.84767376466868
1839,202.05985888299983
1840,200.57334258531785
1841,201.95365339323928
1842,202.83222069970196
1843,201.9032416101168
1844,201.15132305082935
1845,202.5162781960102
1846,202.86311424830848
1847,203.90021302118268
1848,201.937699091823
1849,202.71225107706564
1850,204.19989346818795
1851,202.73266799047056
1852,203.07010093142782
1853,202.2935583517273
1854,201.519308920934
1855,202.45100156624585
1856,202.64138929914947
1857,202.9150493968568
1858,204.2593294155115
1859,202.38628477131837
1860,206.76068347880098
1861,207.63791665881323
1862,207.33484567917415
1863,204.68491665611012
1864,202.6303905058094
1865,204.81368301704245
1866,203.0710080523656
1867,201.833452081798
1868,202.8962401784519
1869,203.81592346432805
1870,204.8964470390394
1871,201.3519071948886
1872,200.31817879566128
1873,200.73943508159297
1874,199.73678712511526
1875,198.90102769676636
1876,198.34006964632943
1877,198.67721542045877
1878,198.1444742868642
1879,199.04740119279253
1880,198.05531249156314
1881,195.09869584544637
1882,195.78472943834493
1883,196.8162532436567
1884,197.89645757053327
1885,201.61880634185584
1886,193.6635073495066
1887,190.2934673030123
1888,190.7902059077577
1889,190.14354905810944
1890,190.39882080478182
1891,190.5202082863643
1892,189.40105551454295
1893,188.28561579656048
1894,188.56579900310092
1895,189.4469430303092
1896,189.90528668678073
1897,188.6641857186089
1898,186.88016895523273
1899,187.2346290502487
1900,186.67870247335588
1901,185.94296885519344
1902,184.56329121622383
1903,183.4721195685266
1904,182.925162328627
1905,181.1464957423741
1906,181.37409327614554
1907,181.13946788753702
1908,181.18596423185136
1909,180.9257178295855
1910,179.01250387880765
1911,180.22848408258494
1912,180.78021515478338
1913,180.11544060193444
1914,179.3012072116553
1915,179.5975142400884
1916,178.61020906287624
1917,177.19975047928654
1918,176.47005996538613
1919,176.966656326115
1920,175.81510031900055
1921,175.91151116698558
1922,176.10616066284393
1923,176.34889305833096
1924,175.72431427318264
1925,175.64455487423672
1926,175.1702728864117
1927,175.31179674593048
1928,174.88774251199968
1929,174.88094971309167
1930,173.8715549667022
1931,173.01182779433995
1932,172.47125938666525
1933,170.3046594350536
1934,170.54604060200114
1935,169.9873726458567
1936,170.39608405709876
1937,170.36872868859786
1938,170.12435857963817
1939,168.89623667901827
1940,168.51070671761332
1941,167.79136885951334
1942,167.33666629818015
1943,167.35930777937207
1944,168.09405714106683
1945,168.35090550195872
1946,168.51138596112767
1947,168.03281158960775
1948,167.8147780096416
1949,167.8792528292323
1950,167.332354332896
1951,166.7869714910858
1952,166.00925164578507
1953,165.74741354778055
1954,165.7188736962153
1955,164.8994583598931
1956,165.21938102173988
1957,163.8704159978812
1958,163.79700281553278
1959,163.2620361203109
1960,162.0841753120169
1961,159.44045059127282
1962,160.26780900039495
1963,160.176191421442
1964,160.56373071659837
1965,160.3794702859673
1966,161.6051145544282
1967,161.66785390297048
1968,159.96314905565683
1969,160.09543817226103
1970,162.25674225130797
1971,162.9454533891891
1972,162.28271300987325
1973,163.05701638511303
1974,161.63455520514322
1975,162.47276508799266
1976,162.68290320841461
1977,163.13623406256528
1978,162.4549349303346
1979,161.9086376554534
1980,161.85031066692264
1981,161.3281734058635
1982,161.40208137053392
1983,160.06843381030342
1984,161.3496704344053
1985,161.39927236320887
1986,160.88001379947738
1987,160.34038312737854
1988,160.10690097330536
1989,158.50559911443565
1990,158.64387228491836
1991,159.55961536475368
1992,158.2692812180785
1993,157.32815540844473
1994,155.4441648580601
1995,155.73422534667623
1996,158.76349879310607
1997,157.20660053845987
1998,156.7217166543217
1999,159.21816221715002
2000,159.813347017264
2001,160.82953272844202
2002,160.2118161319991
2003,158.22337618431766
2004,158.792193444932
2005,159.96802710934202
2006,158.80865990548992
2007,157.56949734182086
2008,157.19179808258113
2009,156.33510368198668
2010,155.9809449172108
2011,155.0249335205015
2012,154.65282083442145
2013,153.99180684605957
2014,153.84922881258743
2015,154.48998139449623
2016,155.08640957268332
2017,152.41511762111045
